timestamp,grid_market_in,grid_market_out,grid_retail_in,grid_retail_out,levies_price_in,levies_price_out
1616540400,400,0,800,0,1800,0
1616541300,400,0,800,0,1800,0
1616542200,400,0,800,0,1800,0
1616543100,400,0,800,0,1800,0
1616544000,400,0,800,0,1800,0
1616544900,400,0,800,0,1800,0
1616545800,400,0,800,0,1800,0
1616546700,400,0,800,0,1800,0
1616547600,400,0,800,0,1800,0
1616548500,400,0,800,0,1800,0
1616549400,400,0,800,0,1800,0
1616550300,400,0,800,0,1800,0
1616551200,400,0,800,0,1800,0
1616552100,400,0,800,0,1800,0
1616553000,400,0,800,0,1800,0
1616553900,400,0,800,0,1800,0
1616554800,400,0,800,0,1800,0
1616555700,400,0,800,0,1800,0
1616556600,400,0,800,0,1800,0
1616557500,400,0,800,0,1800,0
1616558400,400,0,800,0,1800,0
1616559300,400,0,800,0,1800,0
1616560200,400,0,800,0,1800,0
1616561100,400,0,800,0,1800,0
1616562000,400,0,800,0,1800,0
1616562900,400,0,800,0,1800,0
1616563800,400,0,800,0,1800,0
1616564700,400,0,800,0,1800,0
1616565600,400,0,800,0,1800,0
1616566500,400,0,800,0,1800,0
1616567400,400,0,800,0,1800,0
1616568300,400,0,800,0,1800,0
1616569200,400,0,800,0,1800,0
1616570100,400,0,800,0,1800,0
1616571000,400,0,800,0,1800,0
1616571900,400,0,800,0,1800,0
1616572800,400,0,800,0,1800,0
1616573700,400,0,800,0,1800,0
1616574600,400,0,800,0,1800,0
1616575500,400,0,800,0,1800,0
1616576400,400,0,800,0,1800,0
1616577300,400,0,800,0,1800,0
1616578200,400,0,800,0,1800,0
1616579100,400,0,800,0,1800,0
1616580000,400,0,800,0,1800,0
1616580900,400,0,800,0,1800,0
1616581800,400,0,800,0,1800,0
1616582700,400,0,800,0,1800,0
1616583600,400,0,800,0,1800,0
1616584500,400,0,800,0,1800,0
1616585400,400,0,800,0,1800,0
1616586300,400,0,800,0,1800,0
1616587200,400,0,800,0,1800,0
1616588100,400,0,800,0,1800,0
1616589000,400,0,800,0,1800,0
1616589900,400,0,800,0,1800,0
1616590800,400,0,800,0,1800,0
1616591700,400,0,800,0,1800,0
1616592600,400,0,800,0,1800,0
1616593500,400,0,800,0,1800,0
1616594400,400,0,800,0,1800,0
1616595300,400,0,800,0,1800,0
1616596200,400,0,800,0,1800,0
1616597100,400,0,800,0,1800,0
1616598000,400,0,800,0,1800,0
1616598900,400,0,800,0,1800,0
1616599800,400,0,800,0,1800,0
1616600700,400,0,800,0,1800,0
1616601600,400,0,800,0,1800,0
1616602500,400,0,800,0,1800,0
